dataset,region,method,variant_type,tp,fp,fn,precision,recall,f1
seqc2_wes_ll,ukb,refined_consensus,snp,1012,34,1193,0.9674952198852772,0.45895691609977324,0.6225776684097201
seqc2_wes_ll,ukb,refined_consensus,indel,40,1,55,0.975609756097561,0.42105263157894735,0.5882352941176471
seqc2_wes_ll,ukb,refined_consensus,records,1052,35,1248,0.9678012879484821,0.4573913043478261,0.6211987009152643
seqc2_wes_ll,medexome,refined_consensus,snp,543,17,252,0.9696428571428571,0.6830188679245283,0.8014760147601475
seqc2_wes_ll,medexome,refined_consensus,indel,21,1,13,0.9545454545454546,0.6176470588235294,0.75
seqc2_wes_ll,medexome,refined_consensus,records,564,18,265,0.9690721649484536,0.6803377563329313,0.7994330262225372
seqc2_wes_ll,ukb,deepsomatic,snp,1007,34,1198,0.9673390970220941,0.45668934240362813,0.6204559457794208
seqc2_wes_ll,ukb,deepsomatic,indel,41,4,54,0.9111111111111111,0.43157894736842106,0.5857142857142857
seqc2_wes_ll,ukb,deepsomatic,records,1048,38,1252,0.9650092081031307,0.45565217391304347,0.6190194920259894
seqc2_wes_ll,medexome,deepsomatic,snp,540,17,255,0.9694793536804309,0.6792452830188679,0.7988165680473374
seqc2_wes_ll,medexome,deepsomatic,indel,23,2,11,0.92,0.6764705882352942,0.7796610169491526
seqc2_wes_ll,medexome,deepsomatic,records,563,19,266,0.9673539518900344,0.6791314837153196,0.7980155917788802
seqc2_wes_ll,ukb,refined_first_rescue,snp,1021,37,1184,0.9650283553875236,0.46303854875283446,0.6258044744100522
seqc2_wes_ll,ukb,refined_first_rescue,indel,40,1,55,0.975609756097561,0.42105263157894735,0.5882352941176471
seqc2_wes_ll,ukb,refined_first_rescue,records,1061,38,1239,0.9654231119199272,0.461304347826087,0.6243012650779641
seqc2_wes_ll,medexome,refined_first_rescue,snp,548,19,247,0.9664902998236331,0.6893081761006289,0.8046989720998531
seqc2_wes_ll,medexome,refined_first_rescue,indel,21,1,13,0.9545454545454546,0.6176470588235294,0.75
seqc2_wes_ll,medexome,refined_first_rescue,records,569,20,260,0.966044142614601,0.6863691194209891,0.8025387870239773
seqc2_wes_ll,ukb,workflow_first_rescue,snp,956,475,1249,0.6680642907058001,0.4335600907029478,0.5258525852585259
seqc2_wes_ll,ukb,workflow_first_rescue,indel,35,30,60,0.5384615384615384,0.3684210526315789,0.4375
seqc2_wes_ll,ukb,workflow_first_rescue,records,991,505,1309,0.6624331550802139,0.4308695652173913,0.5221285563751317
seqc2_wes_ll,medexome,workflow_first_rescue,snp,533,329,262,0.6183294663573086,0.670440251572327,0.6433313216656608
seqc2_wes_ll,medexome,workflow_first_rescue,indel,18,11,16,0.6206896551724138,0.5294117647058824,0.5714285714285715
seqc2_wes_ll,medexome,workflow_first_rescue,records,551,340,278,0.6184062850729517,0.6646562123039808,0.6406976744186047
seqc2_wes_ll,ukb,refined_realignment_rescue,snp,1023,36,1182,0.9660056657223796,0.4639455782312925,0.6268382352941175
seqc2_wes_ll,ukb,refined_realignment_rescue,indel,40,1,55,0.975609756097561,0.42105263157894735,0.5882352941176471
seqc2_wes_ll,ukb,refined_realignment_rescue,records,1063,37,1237,0.9663636363636363,0.46217391304347827,0.6252941176470588
seqc2_wes_ll,medexome,refined_realignment_rescue,snp,549,19,246,0.9665492957746479,0.690566037735849,0.805575935436537
seqc2_wes_ll,medexome,refined_realignment_rescue,indel,21,1,13,0.9545454545454546,0.6176470588235294,0.75
seqc2_wes_ll,medexome,refined_realignment_rescue,records,570,20,259,0.9661016949152542,0.6875753920386007,0.8033826638477801
seqc2_wes_ll,ukb,workflow_realignment_rescue,snp,975,290,1230,0.7707509881422925,0.4421768707482993,0.5619596541786743
seqc2_wes_ll,ukb,workflow_realignment_rescue,indel,36,20,59,0.6428571428571429,0.37894736842105264,0.4768211920529802
seqc2_wes_ll,ukb,workflow_realignment_rescue,records,1011,314,1289,0.7630188679245283,0.43956521739130433,0.5577931034482758
seqc2_wes_ll,medexome,workflow_realignment_rescue,snp,538,165,257,0.7652916073968705,0.6767295597484276,0.7182910547396529
seqc2_wes_ll,medexome,workflow_realignment_rescue,indel,19,5,15,0.7916666666666666,0.5588235294117647,0.6551724137931034
seqc2_wes_ll,medexome,workflow_realignment_rescue,records,557,174,272,0.761969904240766,0.6718938480096501,0.714102564102564
