source,type,truth,tp,fp,fn,precision,recall,f1
examples/seqc2/comparison/WES_IL_T_1_vs_WES_IL_N_1/consensus.stats.csv,indels,95,50,4,45,0.9259259259259259,0.5263157894736842,0.6711409395973154
examples/seqc2/comparison/WES_IL_T_1_vs_WES_IL_N_1/consensus.stats.csv,SNVs,2205,1219,13,986,0.989448051948052,0.5528344671201814,0.7093395402967704
examples/seqc2/comparison/WES_IL_T_1_vs_WES_IL_N_1/consensus.stats.csv,records,2300,1269,17,1031,0.9867807153965785,0.5517391304347826,0.7077523703290575
examples/seqc2/comparison/WES_IL_T_1_vs_WES_IL_N_1/deepsomatic.stats.csv,indels,95,53,3,42,0.9464285714285714,0.5578947368421052,0.7019867549668873
examples/seqc2/comparison/WES_IL_T_1_vs_WES_IL_N_1/deepsomatic.stats.csv,SNVs,2205,1312,18,893,0.9864661654135338,0.5950113378684807,0.7422913719943424
examples/seqc2/comparison/WES_IL_T_1_vs_WES_IL_N_1/deepsomatic.stats.csv,records,2300,1365,21,935,0.9848484848484849,0.5934782608695652,0.7406402604449267
examples/seqc2/comparison/WES_IL_T_1_vs_WES_IL_N_1/mutect2.stats.csv,indels,95,45,7,50,0.8653846153846154,0.47368421052631576,0.6122448979591837
examples/seqc2/comparison/WES_IL_T_1_vs_WES_IL_N_1/mutect2.stats.csv,SNVs,2205,1113,16,1092,0.9858281665190434,0.5047619047619047,0.6676664667066586
examples/seqc2/comparison/WES_IL_T_1_vs_WES_IL_N_1/mutect2.stats.csv,records,2300,1158,39,1142,0.9674185463659147,0.5034782608695653,0.6622819559622534
examples/seqc2/comparison/WES_IL_T_1_vs_WES_IL_N_1/strelka.stats.csv,indels,95,49,45,46,0.5212765957446809,0.5157894736842106,0.5185185185185186
examples/seqc2/comparison/WES_IL_T_1_vs_WES_IL_N_1/strelka.stats.csv,SNVs,2205,1224,1634,981,0.4282715185444367,0.5551020408163265,0.48350780169859764
examples/seqc2/comparison/WES_IL_T_1_vs_WES_IL_N_1/strelka.stats.csv,records,2300,1273,1679,1027,0.4312330623306233,0.5534782608695652,0.48476770753998477
examples/seqc2/comparison/WES_LL_T_1_vs_WES_LL_N_1/clair.stats.csv,indels,95,0,0,95,0.0,0.0,0
examples/seqc2/comparison/WES_LL_T_1_vs_WES_LL_N_1/clair.stats.csv,SNVs,2205,236,0,1969,1.0,0.10702947845804989,0.19336337566571077
examples/seqc2/comparison/WES_LL_T_1_vs_WES_LL_N_1/clair.stats.csv,records,2300,236,0,2064,1.0,0.10260869565217391,0.1861198738170347
examples/seqc2/comparison/WES_LL_T_1_vs_WES_LL_N_1/consensus.stats.csv,indels,95,35,1,60,0.9722222222222222,0.3684210526315789,0.5343511450381679
examples/seqc2/comparison/WES_LL_T_1_vs_WES_LL_N_1/consensus.stats.csv,SNVs,2205,950,106,1255,0.8996212121212122,0.4308390022675737,0.5826433609322293
examples/seqc2/comparison/WES_LL_T_1_vs_WES_LL_N_1/consensus.stats.csv,records,2300,985,107,1315,0.902014652014652,0.4282608695652174,0.5807783018867925
examples/seqc2/comparison/WES_LL_T_1_vs_WES_LL_N_1/deepsomatic.stats.csv,indels,95,41,4,54,0.9111111111111111,0.43157894736842106,0.5857142857142857
examples/seqc2/comparison/WES_LL_T_1_vs_WES_LL_N_1/deepsomatic.stats.csv,SNVs,2205,1007,34,1198,0.9673390970220941,0.45668934240362813,0.6204559457794208
examples/seqc2/comparison/WES_LL_T_1_vs_WES_LL_N_1/deepsomatic.stats.csv,records,2300,1048,38,1252,0.9650092081031307,0.45565217391304347,0.6190194920259894
examples/seqc2/comparison/WES_LL_T_1_vs_WES_LL_N_1/mutect2.stats.csv,indels,95,32,4,63,0.8888888888888888,0.3368421052631579,0.48854961832061067
examples/seqc2/comparison/WES_LL_T_1_vs_WES_LL_N_1/mutect2.stats.csv,SNVs,2205,906,147,1299,0.8603988603988604,0.4108843537414966,0.556169429097606
examples/seqc2/comparison/WES_LL_T_1_vs_WES_LL_N_1/mutect2.stats.csv,records,2300,938,164,1362,0.8511796733212341,0.4078260869565217,0.551440329218107
examples/seqc2/comparison/WES_LL_T_1_vs_WES_LL_N_1/strelka.stats.csv,indels,95,38,41,57,0.4810126582278481,0.4,0.4367816091954023
examples/seqc2/comparison/WES_LL_T_1_vs_WES_LL_N_1/strelka.stats.csv,SNVs,2205,944,1524,1261,0.3824959481361426,0.42811791383219955,0.4040231114915472
examples/seqc2/comparison/WES_LL_T_1_vs_WES_LL_N_1/strelka.stats.csv,records,2300,982,1565,1318,0.3855516293678838,0.42695652173913046,0.40519909222199296
examples/seqc2/comparison/WGS_IL_T_1_vs_WGS_IL_N_1/consensus.stats.csv,indels,95,73,4,22,0.948051948051948,0.7684210526315789,0.8488372093023255
examples/seqc2/comparison/WGS_IL_T_1_vs_WGS_IL_N_1/consensus.stats.csv,SNVs,2205,2058,1,147,0.9995143273433705,0.9333333333333333,0.9652908067542215
examples/seqc2/comparison/WGS_IL_T_1_vs_WGS_IL_N_1/consensus.stats.csv,records,2300,2131,5,169,0.9976591760299626,0.9265217391304348,0.9607754733994589
examples/seqc2/comparison/WGS_IL_T_1_vs_WGS_IL_N_1/deepsomatic.stats.csv,indels,95,85,11,10,0.8854166666666666,0.8947368421052632,0.8900523560209423
examples/seqc2/comparison/WGS_IL_T_1_vs_WGS_IL_N_1/deepsomatic.stats.csv,SNVs,2205,2083,8,122,0.9961740793878527,0.944671201814059,0.9697392923649907
examples/seqc2/comparison/WGS_IL_T_1_vs_WGS_IL_N_1/deepsomatic.stats.csv,records,2300,2168,19,132,0.9913122999542753,0.9426086956521739,0.9663472253175841
examples/seqc2/comparison/WGS_IL_T_1_vs_WGS_IL_N_1/mutect2.stats.csv,indels,95,37,8,58,0.8222222222222222,0.3894736842105263,0.5285714285714285
examples/seqc2/comparison/WGS_IL_T_1_vs_WGS_IL_N_1/mutect2.stats.csv,SNVs,2205,1645,0,560,1.0,0.746031746031746,0.8545454545454546
examples/seqc2/comparison/WGS_IL_T_1_vs_WGS_IL_N_1/mutect2.stats.csv,records,2300,1682,34,618,0.9801864801864801,0.731304347826087,0.8376494023904383
examples/seqc2/comparison/WGS_IL_T_1_vs_WGS_IL_N_1/strelka.stats.csv,indels,95,74,13,21,0.8505747126436781,0.7789473684210526,0.8131868131868132
examples/seqc2/comparison/WGS_IL_T_1_vs_WGS_IL_N_1/strelka.stats.csv,SNVs,2205,2092,110,113,0.9500454132606722,0.9487528344671202,0.9493986839119584
examples/seqc2/comparison/WGS_IL_T_1_vs_WGS_IL_N_1/strelka.stats.csv,records,2300,2166,123,134,0.9462647444298821,0.9417391304347826,0.9439965134016126
examples/seqc2/hybrid/comparison/WES_LL_RT_1_vs_WES_LL_N_1/consensus.stats.csv,indels,95,3,26,92,0.10344827586206896,0.031578947368421054,0.04838709677419355
examples/seqc2/hybrid/comparison/WES_LL_RT_1_vs_WES_LL_N_1/consensus.stats.csv,SNVs,2205,312,585,1893,0.34782608695652173,0.1414965986394558,0.20116054158607352
examples/seqc2/hybrid/comparison/WES_LL_RT_1_vs_WES_LL_N_1/consensus.stats.csv,records,2300,315,611,1985,0.34017278617710583,0.13695652173913042,0.1952882827030378
examples/seqc2/hybrid/comparison/WES_LL_RT_1_vs_WES_LL_N_1/deepsomatic.stats.csv,indels,95,5,40,90,0.1111111111111111,0.05263157894736842,0.07142857142857142
examples/seqc2/hybrid/comparison/WES_LL_RT_1_vs_WES_LL_N_1/deepsomatic.stats.csv,SNVs,2205,300,639,1905,0.3194888178913738,0.1360544217687075,0.19083969465648856
examples/seqc2/hybrid/comparison/WES_LL_RT_1_vs_WES_LL_N_1/deepsomatic.stats.csv,records,2300,305,679,1995,0.3099593495934959,0.13260869565217392,0.18574908647990257
examples/seqc2/hybrid/comparison/WES_LL_RT_1_vs_WES_LL_N_1/mutect2.stats.csv,indels,95,2,41,93,0.046511627906976744,0.021052631578947368,0.028985507246376815
examples/seqc2/hybrid/comparison/WES_LL_RT_1_vs_WES_LL_N_1/mutect2.stats.csv,SNVs,2205,213,526,1992,0.2882273342354533,0.09659863945578231,0.14470108695652176
examples/seqc2/hybrid/comparison/WES_LL_RT_1_vs_WES_LL_N_1/mutect2.stats.csv,records,2300,215,595,2085,0.2654320987654321,0.09347826086956522,0.1382636655948553
examples/seqc2/hybrid/comparison/WES_LL_RT_1_vs_WES_LL_N_1/rescue.stats.csv,indels,95,35,28,60,0.5555555555555556,0.3684210526315789,0.4430379746835443
examples/seqc2/hybrid/comparison/WES_LL_RT_1_vs_WES_LL_N_1/rescue.stats.csv,SNVs,2205,967,687,1238,0.5846432889963724,0.4385487528344671,0.5011661052086033
examples/seqc2/hybrid/comparison/WES_LL_RT_1_vs_WES_LL_N_1/rescue.stats.csv,records,2300,1002,715,1298,0.5835760046592895,0.4356521739130435,0.49887976101568343
examples/seqc2/hybrid/comparison/WES_LL_RT_1_vs_WES_LL_N_1/strelka.stats.csv,indels,95,4,358,91,0.011049723756906077,0.042105263157894736,0.0175054704595186
examples/seqc2/hybrid/comparison/WES_LL_RT_1_vs_WES_LL_N_1/strelka.stats.csv,SNVs,2205,371,4929,1834,0.07,0.16825396825396827,0.0988674217188541
examples/seqc2/hybrid/comparison/WES_LL_RT_1_vs_WES_LL_N_1/strelka.stats.csv,records,2300,375,5287,1925,0.06623101377605087,0.16304347826086957,0.09419743782969105
examples/seqc2/hybrid/comparison/WES_LL_T_1_vs_WES_LL_N_1/consensus.stats.csv,indels,95,35,1,60,0.9722222222222222,0.3684210526315789,0.5343511450381679
examples/seqc2/hybrid/comparison/WES_LL_T_1_vs_WES_LL_N_1/consensus.stats.csv,SNVs,2205,950,106,1255,0.8996212121212122,0.4308390022675737,0.5826433609322293
examples/seqc2/hybrid/comparison/WES_LL_T_1_vs_WES_LL_N_1/consensus.stats.csv,records,2300,985,107,1315,0.902014652014652,0.4282608695652174,0.5807783018867925
examples/seqc2/hybrid/comparison/WES_LL_T_1_vs_WES_LL_N_1/deepsomatic.stats.csv,indels,95,41,4,54,0.9111111111111111,0.43157894736842106,0.5857142857142857
examples/seqc2/hybrid/comparison/WES_LL_T_1_vs_WES_LL_N_1/deepsomatic.stats.csv,SNVs,2205,1007,34,1198,0.9673390970220941,0.45668934240362813,0.6204559457794208
examples/seqc2/hybrid/comparison/WES_LL_T_1_vs_WES_LL_N_1/deepsomatic.stats.csv,records,2300,1048,38,1252,0.9650092081031307,0.45565217391304347,0.6190194920259894
examples/seqc2/hybrid/comparison/WES_LL_T_1_vs_WES_LL_N_1/mutect2.stats.csv,indels,95,32,4,63,0.8888888888888888,0.3368421052631579,0.48854961832061067
examples/seqc2/hybrid/comparison/WES_LL_T_1_vs_WES_LL_N_1/mutect2.stats.csv,SNVs,2205,906,147,1299,0.8603988603988604,0.4108843537414966,0.556169429097606
examples/seqc2/hybrid/comparison/WES_LL_T_1_vs_WES_LL_N_1/mutect2.stats.csv,records,2300,938,164,1362,0.8511796733212341,0.4078260869565217,0.551440329218107
examples/seqc2/hybrid/comparison/WES_LL_T_1_vs_WES_LL_N_1/strelka.stats.csv,indels,95,38,41,57,0.4810126582278481,0.4,0.4367816091954023
examples/seqc2/hybrid/comparison/WES_LL_T_1_vs_WES_LL_N_1/strelka.stats.csv,SNVs,2205,944,1524,1261,0.3824959481361426,0.42811791383219955,0.4040231114915472
examples/seqc2/hybrid/comparison/WES_LL_T_1_vs_WES_LL_N_1/strelka.stats.csv,records,2300,982,1565,1318,0.3855516293678838,0.42695652173913046,0.40519909222199296
