sample_id	verdict	label_vcf	bam_dn	bam_dt	bam_rt	set_number
PRJNA298310_3812	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298310_3812/rescue/PRJNA298310_3812DT_vs_PRJNA298310_3812DN_rescued_PRJNA298310_3812RT_realign_vs_PRJNA298310_3812DN/PRJNA298310_3812DT_vs_PRJNA298310_3812DN_rescued_PRJNA298310_3812RT_realign_vs_PRJNA298310_3812DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298310_3812/preprocessing/mapped/PRJNA298310_3812DN/PRJNA298310_3812DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298310_3812/preprocessing/mapped/PRJNA298310_3812DT/PRJNA298310_3812DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298310_3812/preprocessing/mapped/PRJNA298310_3812RT/PRJNA298310_3812RT.bam	3
PRJNA298330_3812	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298330_3812/rescue/PRJNA298330_3812DT_vs_PRJNA298330_3812DN_rescued_PRJNA298330_3812RT_realign_vs_PRJNA298330_3812DN/PRJNA298330_3812DT_vs_PRJNA298330_3812DN_rescued_PRJNA298330_3812RT_realign_vs_PRJNA298330_3812DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298330_3812/preprocessing/mapped/PRJNA298330_3812DN/PRJNA298330_3812DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298330_3812/preprocessing/mapped/PRJNA298330_3812DT/PRJNA298330_3812DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298330_3812/preprocessing/mapped/PRJNA298330_3812RT/PRJNA298330_3812RT.bam	3
PRJNA298330_3942	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298330_3942/rescue/PRJNA298330_3942DT_vs_PRJNA298330_3942DN_rescued_PRJNA298330_3942RT_realign_vs_PRJNA298330_3942DN/PRJNA298330_3942DT_vs_PRJNA298330_3942DN_rescued_PRJNA298330_3942RT_realign_vs_PRJNA298330_3942DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298330_3942/preprocessing/mapped/PRJNA298330_3942DN/PRJNA298330_3942DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298330_3942/preprocessing/mapped/PRJNA298330_3942DT/PRJNA298330_3942DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298330_3942/preprocessing/mapped/PRJNA298330_3942RT/PRJNA298330_3942RT.bam	4
PRJNA298330_3948	WARN	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/runs/label_qc/cohort66_apply/cleaned_vcf/PRJNA298330_3948.bgz.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298330_3948/preprocessing/mapped/PRJNA298330_3948DN/PRJNA298330_3948DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298330_3948/preprocessing/mapped/PRJNA298330_3948DT/PRJNA298330_3948DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298330_3948/preprocessing/mapped/PRJNA298330_3948RT/PRJNA298330_3948RT.bam	3
PRJNA298330_3978	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298330_3978/rescue/PRJNA298330_3978DT_vs_PRJNA298330_3978DN_rescued_PRJNA298330_3978RT_realign_vs_PRJNA298330_3978DN/PRJNA298330_3978DT_vs_PRJNA298330_3978DN_rescued_PRJNA298330_3978RT_realign_vs_PRJNA298330_3978DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298330_3978/preprocessing/mapped/PRJNA298330_3978DN/PRJNA298330_3978DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298330_3978/preprocessing/mapped/PRJNA298330_3978DT/PRJNA298330_3978DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298330_3978/preprocessing/mapped/PRJNA298330_3978RT/PRJNA298330_3978RT.bam	3
PRJNA298330_3995	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298330_3995/rescue/PRJNA298330_3995DT_vs_PRJNA298330_3995DN_rescued_PRJNA298330_3995RT_realign_vs_PRJNA298330_3995DN/PRJNA298330_3995DT_vs_PRJNA298330_3995DN_rescued_PRJNA298330_3995RT_realign_vs_PRJNA298330_3995DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298330_3995/preprocessing/mapped/PRJNA298330_3995DN/PRJNA298330_3995DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298330_3995/preprocessing/mapped/PRJNA298330_3995DT/PRJNA298330_3995DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298330_3995/preprocessing/mapped/PRJNA298330_3995RT/PRJNA298330_3995RT.bam	2
PRJNA298330_4007	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298330_4007/rescue/PRJNA298330_4007DT_vs_PRJNA298330_4007DN_rescued_PRJNA298330_4007RT_realign_vs_PRJNA298330_4007DN/PRJNA298330_4007DT_vs_PRJNA298330_4007DN_rescued_PRJNA298330_4007RT_realign_vs_PRJNA298330_4007DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298330_4007/preprocessing/mapped/PRJNA298330_4007DN/PRJNA298330_4007DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298330_4007/preprocessing/mapped/PRJNA298330_4007DT/PRJNA298330_4007DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298330_4007/preprocessing/mapped/PRJNA298330_4007RT/PRJNA298330_4007RT.bam	2
PRJNA298330_4096	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298330_4096/rescue/PRJNA298330_4096DT_vs_PRJNA298330_4096DN_rescued_PRJNA298330_4096RT_realign_vs_PRJNA298330_4096DN/PRJNA298330_4096DT_vs_PRJNA298330_4096DN_rescued_PRJNA298330_4096RT_realign_vs_PRJNA298330_4096DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298330_4096/preprocessing/mapped/PRJNA298330_4096DN/PRJNA298330_4096DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298330_4096/preprocessing/mapped/PRJNA298330_4096DT/PRJNA298330_4096DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298330_4096/preprocessing/mapped/PRJNA298330_4096RT/PRJNA298330_4096RT.bam	4
PRJNA298376_3812	WARN	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/runs/label_qc/cohort66_apply/cleaned_vcf/PRJNA298376_3812.bgz.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_3812/preprocessing/mapped/PRJNA298376_3812DN/PRJNA298376_3812DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_3812/preprocessing/mapped/PRJNA298376_3812DT/PRJNA298376_3812DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_3812/preprocessing/mapped/PRJNA298376_3812RT/PRJNA298376_3812RT.bam	3
PRJNA298376_3942	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_3942/rescue/PRJNA298376_3942DT_vs_PRJNA298376_3942DN_rescued_PRJNA298376_3942RT_realign_vs_PRJNA298376_3942DN/PRJNA298376_3942DT_vs_PRJNA298376_3942DN_rescued_PRJNA298376_3942RT_realign_vs_PRJNA298376_3942DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_3942/preprocessing/mapped/PRJNA298376_3942DN/PRJNA298376_3942DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_3942/preprocessing/mapped/PRJNA298376_3942DT/PRJNA298376_3942DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_3942/preprocessing/mapped/PRJNA298376_3942RT/PRJNA298376_3942RT.bam	2
